respondent,index,wkt,geojson,If there w,What would,Are there,General fo,Loss of bi,Loss of co,Loss of _1,Loss of cu,Loss of fo,Loss of _2,Loss of in,responde_8
6pc8t2hwf2w4,0,"POLYGON ((-120.956358 38.990157, -120.956358 38.994343, -120.956358 38.997716, -120.955947 39.000276, -120.951722 39.011114, -120.950358 39.015705, -120.945292 39.035982, -120.94389 39.041789, -120.942334 39.052668, -120.941436 39.059814, -120.941436 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.956358,38.990157],[-120.956358,38.994343],[-120.956358,38.997716],[-120.955947,39.000276],[-120.951722,39.011114],[-120.950358,39.015705],[-120.945292,39.035982],[-120.94389,39.041789],","[[""38.990157,-120.956358"",""38.994343,-120.956358"",""38.997716,-120.956358"",""39.000276,-120.955947"",""39.011114,-120.951722"",""39.015705,-120.950358"",""39.035982,-120.945292"",""39.041789,-120.94389"",""39.052668,-120.942334"",""39.059814,-120.941436"",""39.065213,-1",housing loss,,,,,,,,,,non-profit
6pc8t2hwf2w4,1,"POLYGON ((-120.182253 39.318519, -120.178443 39.319535, -120.16549 39.324078, -120.153947 39.332684, -120.150776 39.341955, -120.145278 39.346904, -120.143321 39.347852, -120.131631 39.352283, -120.129791 39.352743, -120.122265 39.353917, -120.120384 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.182253,39.318519],[-120.178443,39.319535],[-120.16549,39.324078],[-120.153947,39.332684],[-120.150776,39.341955],[-120.145278,39.346904],[-120.143321,39.347852],[-120.131631,39.352283],","[[""39.318519,-120.182253"",""39.319535,-120.178443"",""39.324078,-120.16549"",""39.332684,-120.153947"",""39.341955,-120.150776"",""39.346904,-120.145278"",""39.347852,-120.143321"",""39.352283,-120.131631"",""39.352743,-120.129791"",""39.353917,-120.122265"",""39.355982,-1",housing loss,,,,,,,,,,non-profit
7b6pls86n2a4,0,"POLYGON ((-120.252782 38.630643, -120.252782 38.630643, -120.254543 38.630643, -120.291509 38.616891, -120.370721 38.58181, -120.42353 38.552219, -120.463136 38.532255, -120.474578 38.523304, -120.476339 38.521238, -120.511544 38.488867, -120.517705 38.4","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.252782,38.630643],[-120.252782,38.630643],[-120.254543,38.630643],[-120.291509,38.616891],[-120.370721,38.58181],[-120.42353,38.552219],[-120.463136,38.532255],[-120.474578,38.523304],[","[[""38.630643,-120.252782"",""38.630643,-120.252782"",""38.630643,-120.254543"",""38.616891,-120.291509"",""38.58181,-120.370721"",""38.552219,-120.42353"",""38.532255,-120.463136"",""38.523304,-120.474578"",""38.521238,-120.476339"",""38.488867,-120.511544"",""38.483355,-12","These are the areas of the watershed most likely to have high intensity fires, such as those that would kill most trees and lead to forest type change (conifer to brush).","Degradation of runoff water quality (nutrients, metals, sedimentation).",1,,,,,,,,local or regional agency
6gkz8ewl6wfn,0,"POLYGON ((-121.014381 38.896659, -121.014381 38.896659, -121.014381 38.896082, -121.01364 38.896082, -121.009194 38.895505, -121.006971 38.895505, -121.00623 38.895505, -121.005489 38.895505, -121.004748 38.895505, -121.004007 38.896082, -121.000302 38.8","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.014381,38.896659],[-121.014381,38.896659],[-121.014381,38.896082],[-121.01364,38.896082],[-121.009194,38.895505],[-121.006971,38.895505],[-121.00623,38.895505],[-121.005489,38.895505],[","[[""38.896659,-121.014381"",""38.896659,-121.014381"",""38.896082,-121.014381"",""38.896082,-121.01364"",""38.895505,-121.009194"",""38.895505,-121.006971"",""38.895505,-121.00623"",""38.895505,-121.005489"",""38.895505,-121.004748"",""38.896082,-121.004007"",""38.896659,-12",Sediment in the water ways,"Fish, resources, cultural impacts",2,,,,2,,,,tribal
6gkz8ewl6wfn,1,"POLYGON ((-120.526944 38.731266, -120.526944 38.731266, -120.525077 38.735635, -120.525077 38.736364, -120.524143 38.740005, -120.521343 38.744374, -120.519475 38.748015, -120.519475 38.750927, -120.518542 38.753839, -120.518542 38.756023, -120.518542 38","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.526944,38.731266],[-120.526944,38.731266],[-120.525077,38.735635],[-120.525077,38.736364],[-120.524143,38.740005],[-120.521343,38.744374],[-120.519475,38.748015],[-120.519475,38.750927]","[[""38.731266,-120.526944"",""38.731266,-120.526944"",""38.735635,-120.525077"",""38.736364,-120.525077"",""38.740005,-120.524143"",""38.744374,-120.521343"",""38.748015,-120.519475"",""38.750927,-120.519475"",""38.753839,-120.518542"",""38.756023,-120.518542"",""38.758207,-","Caldor Fire - cultural sites, dozer lines, emergency timber harvest, erosion, loss of habitat",,1,,,,1,,1,,tribal
9bc7p98bxc96,0,"POLYGON ((-120.667112 39.603473, -120.667112 39.603473, -120.669652 39.603473, -120.687432 39.601516, -120.697593 39.600538, -120.705213 39.598581, -120.728074 39.595645, -120.736964 39.593687, -120.743314 39.592709, -120.754745 39.590751, -120.767445 39","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.667112,39.603473],[-120.667112,39.603473],[-120.669652,39.603473],[-120.687432,39.601516],[-120.697593,39.600538],[-120.705213,39.598581],[-120.728074,39.595645],[-120.736964,39.593687]","[[""39.603473,-120.667112"",""39.603473,-120.667112"",""39.603473,-120.669652"",""39.601516,-120.687432"",""39.600538,-120.697593"",""39.598581,-120.705213"",""39.595645,-120.728074"",""39.593687,-120.736964"",""39.592709,-120.743314"",""39.590751,-120.754745"",""39.588794,-",Loss of habitat/culturally important places,,,1,,,1,,,,non-profit
9bc7p98bxc96,1,"POLYGON ((-120.55519 39.524055, -120.55519 39.524055, -120.558564 39.52579, -120.570935 39.526657, -120.587805 39.530994, -120.60355 39.534464, -120.611422 39.534464, -120.615921 39.534464, -120.624918 39.534464, -120.637289 39.534464, -120.646287 39.534","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.55519,39.524055],[-120.55519,39.524055],[-120.558564,39.52579],[-120.570935,39.526657],[-120.587805,39.530994],[-120.60355,39.534464],[-120.611422,39.534464],[-120.615921,39.534464],[-1","[[""39.524055,-120.55519"",""39.524055,-120.55519"",""39.52579,-120.558564"",""39.526657,-120.570935"",""39.530994,-120.587805"",""39.534464,-120.60355"",""39.534464,-120.611422"",""39.534464,-120.615921"",""39.534464,-120.624918"",""39.534464,-120.637289"",""39.534464,-120.",Loss of habitat/culturally significant places,,,1,,,1,,,,non-profit
9bc7p98bxc96,2,"POLYGON ((-120.304393 39.325112, -120.304393 39.325112, -120.306642 39.325112, -120.314515 39.325112, -120.321263 39.325112, -120.329135 39.325112, -120.339257 39.325982, -120.349379 39.326852, -120.358376 39.326852, -120.370747 39.326852, -120.380869 39","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.304393,39.325112],[-120.304393,39.325112],[-120.306642,39.325112],[-120.314515,39.325112],[-120.321263,39.325112],[-120.329135,39.325112],[-120.339257,39.325982],[-120.349379,39.326852]","[[""39.325112,-120.304393"",""39.325112,-120.304393"",""39.325112,-120.306642"",""39.325112,-120.314515"",""39.325112,-120.321263"",""39.325112,-120.329135"",""39.325982,-120.339257"",""39.326852,-120.349379"",""39.326852,-120.358376"",""39.326852,-120.370747"",""39.326852,-",Loss of habitat/culturally significant areas,,,1,,,1,,,,non-profit
69v6a97bzi73,0,"POLYGON ((-121.028252 39.425468, -121.028252 39.425468, -121.030689 39.41982, -121.033126 39.417938, -121.035564 39.417938, -121.042875 39.417938, -121.047749 39.417938, -121.05506 39.421703, -121.064808 39.423586, -121.074557 39.429233, -121.086742 39.4","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.028252,39.425468],[-121.028252,39.425468],[-121.030689,39.41982],[-121.033126,39.417938],[-121.035564,39.417938],[-121.042875,39.417938],[-121.047749,39.417938],[-121.05506,39.421703],[","[[""39.425468,-121.028252"",""39.425468,-121.028252"",""39.41982,-121.030689"",""39.417938,-121.033126"",""39.417938,-121.035564"",""39.417938,-121.042875"",""39.417938,-121.047749"",""39.421703,-121.05506"",""39.423586,-121.064808"",""39.429233,-121.074557"",""39.436762,-12","Loss of communities, healthy forest and water quantity and quality",,1,,,1,,,,,state agency
69v6a97bzi73,1,"POLYGON ((-120.443355 39.099032, -120.443355 39.099032, -120.467725 39.095249, -120.494533 39.093358, -120.504282 39.095249, -120.511593 39.099032, -120.518904 39.102814, -120.518904 39.102814, -120.518904 39.106596, -120.506719 39.125505, -120.45554 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.443355,39.099032],[-120.443355,39.099032],[-120.467725,39.095249],[-120.494533,39.093358],[-120.504282,39.095249],[-120.511593,39.099032],[-120.518904,39.102814],[-120.518904,39.102814]","[[""39.099032,-120.443355"",""39.099032,-120.443355"",""39.095249,-120.467725"",""39.093358,-120.494533"",""39.095249,-120.504282"",""39.099032,-120.511593"",""39.102814,-120.518904"",""39.102814,-120.518904"",""39.106596,-120.518904"",""39.125505,-120.506719"",""39.178422,-",Watershed (Reservoirs),,,,,,,,,,state agency
