respondent,index,wkt,geojson,primary_forest_benefit,co_benefits,biodiversity,carbon_storage,commercial_real_estate,cultural_connections,electric_power_generation,foraging_a,forest_products,general_forest_health,investment_property,landscape_aesthetic,local_climate_regulation,local_community_connections,meadow_health,public_health,recreation,residential_property,spiritual,water_supply,water_quality,respondent_org
6pc8t2hwf2w4,0,"POLYGON ((-121.018614 39.007509, -121.018614 39.007509, -121.018614 39.006693, -121.018614 39.006518, -121.018863 39.004083, -121.017474 39.000741, -121.016516 38.999624, -121.016516 38.999624, -121.015204 38.997788, -120.998807 38.988543, -120.994882 38","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.018614,39.007509],[-121.018614,39.007509],[-121.018614,39.006693],[-121.018614,39.006518],[-121.018863,39.004083],[-121.017474,39.000741],[-121.016516,38.999624],[-121.016516,38.999624]",housing,,,,,,,,,,,,,,,,,1,,,,non-profit
6pc8t2hwf2w4,2,"POLYGON ((-120.271938 39.36862, -120.271938 39.36862, -120.271938 39.36472, -120.273665 39.359066, -120.275813 39.352337, -120.277046 39.34784, -120.277693 39.344728, -120.279858 39.341037, -120.280011 39.340683, -120.284257 39.338575, -120.288666 39.336","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.271938,39.36862],[-120.271938,39.36862],[-120.271938,39.36472],[-120.273665,39.359066],[-120.275813,39.352337],[-120.277046,39.34784],[-120.277693,39.344728],[-120.279858,39.341037],[-1",housing,,,,,,,,,,,,,,,,,1,,,,non-profit
7b6pls86n2a4,0,"POLYGON ((-120.834557 38.263931, -120.834557 38.263931, -120.826636 38.263931, -120.824875 38.263931, -120.820475 38.263931, -120.814314 38.263931, -120.812553 38.263931, -120.703415 38.266004, -120.603959 38.278442, -120.566993 38.281206, -120.521226 38","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.834557,38.263931],[-120.834557,38.263931],[-120.826636,38.263931],[-120.824875,38.263931],[-120.820475,38.263931],[-120.814314,38.263931],[-120.812553,38.263931],[-120.703415,38.266004]","Water Supply for domestic, agricultural and industrial uses.
Water for electric power generation.
The forests provide high quality water.",Healthy forest and rivers provide a source of tourism to the region.,,,1,,1,,,,,,,,,,2,,,1,1,local or regional agency
6gkz8ewl6wfn,0,"POLYGON ((-121.033974 38.918581, -121.033974 38.918581, -121.034021 38.918581, -121.034116 38.918581, -121.034378 38.918599, -121.035496 38.918692, -121.036043 38.918636, -121.036709 38.918525, -121.037233 38.918414, -121.037994 38.918192, -121.038255 38","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.033974,38.918581],[-121.033974,38.918581],[-121.034021,38.918581],[-121.034116,38.918581],[-121.034378,38.918599],[-121.035496,38.918692],[-121.036043,38.918636],[-121.036709,38.918525]",Potential for healthier water ways; Dam north of the confluence causes issues.,Sense of place; historic and cultural connection to place,,,,2,,,,,,,,2,,,,,,,1,tribal
6gkz8ewl6wfn,1,"POLYGON ((-120.82192 39.033197, -120.82192 39.033197, -120.822214 39.033197, -120.824861 39.033653, -120.826331 39.033653, -120.828095 39.03411, -120.828683 39.03411, -120.829271 39.03411, -120.830154 39.03411, -120.831036 39.03411, -120.831918 39.03411,","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.82192,39.033197],[-120.82192,39.033197],[-120.822214,39.033197],[-120.824861,39.033653],[-120.826331,39.033653],[-120.828095,39.03411],[-120.828683,39.03411],[-120.829271,39.03411],[-12",Safe community; access to resources,Sense of place; historic and cultural connection to place,,,,2,,1,,,,,,1,,,,,,,,tribal
6gkz8ewl6wfn,2,"POLYGON ((-120.324515 39.216006, -120.324515 39.216006, -120.324515 39.21658, -120.327479 39.221173, -120.334888 39.226913, -120.345262 39.232653, -120.357859 39.238392, -120.371197 39.24241, -120.392686 39.245853, -120.401578 39.247575, -120.404542 39.2","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.324515,39.216006],[-120.324515,39.216006],[-120.324515,39.21658],[-120.327479,39.221173],[-120.334888,39.226913],[-120.345262,39.232653],[-120.357859,39.238392],[-120.371197,39.24241],[","Resources - hunting, fishing, cedar bark, plants, medicines",Sense of place; historic and cultural connection to place,,,,2,,1,,,,,,,,,,,,,,tribal
9bc7p98bxc96,0,"POLYGON ((-120.487442 39.596684, -120.487442 39.603775, -120.490893 39.61884, -120.494343 39.622384, -120.496644 39.628586, -120.501245 39.646302, -120.501245 39.646302, -120.504696 39.649845, -120.509297 39.659586, -120.513898 39.662243, -120.518499 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.487442,39.596684],[-120.487442,39.603775],[-120.490893,39.61884],[-120.494343,39.622384],[-120.496644,39.628586],[-120.501245,39.646302],[-120.501245,39.646302],[-120.504696,39.649845],","Headwater health, meadow health",,,,,,,,,,,,,,1,,,,,,1,non-profit
9bc7p98bxc96,1,"POLYGON ((-120.494599 39.423927, -120.494599 39.423927, -120.505652 39.430025, -120.51039 39.433074, -120.515127 39.433684, -120.523022 39.438563, -120.533286 39.441611, -120.540392 39.44405, -120.556183 39.447708, -120.574343 39.449538, -120.587765 39.4","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.494599,39.423927],[-120.494599,39.423927],[-120.505652,39.430025],[-120.51039,39.433074],[-120.515127,39.433684],[-120.523022,39.438563],[-120.533286,39.441611],[-120.540392,39.44405],[","Headwaters, meadow",,,,,,,,,,,,,,1,,,,,,1,non-profit
9bc7p98bxc96,2,"POLYGON ((-121.410659 39.265596, -121.410659 39.265596, -121.43733 39.255762, -121.466541 39.246911, -121.485592 39.238058, -121.510993 39.230189, -121.523693 39.225269, -121.542744 39.219366, -121.554174 39.214446, -121.559254 39.209526, -121.569415 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.410659,39.265596],[-121.410659,39.265596],[-121.43733,39.255762],[-121.466541,39.246911],[-121.485592,39.238058],[-121.510993,39.230189],[-121.523693,39.225269],[-121.542744,39.219366],","water quality, biodiversity",,1,,,,,,,,,,,,,,,,,,1,non-profit
9bc7p98bxc96,3,"POLYGON ((-120.279751 39.348038, -120.279751 39.348038, -120.281824 39.348038, -120.28286 39.348038, -120.290116 39.349641, -120.292189 39.349641, -120.295298 39.350442, -120.300481 39.350442, -120.304627 39.350442, -120.3067 39.350442, -120.311882 39.35","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.279751,39.348038],[-120.279751,39.348038],[-120.281824,39.348038],[-120.28286,39.348038],[-120.290116,39.349641],[-120.292189,39.349641],[-120.295298,39.350442],[-120.300481,39.350442],",meadow/headwaters benefits,,,,,,,,,,,,,,1,,,,,,1,non-profit
36wtf2g9f7h9,0,"POLYGON ((-120.936692 39.1278, -120.936692 39.1278, -120.936692 39.128127, -120.936692 39.128455, -120.936692 39.136652, -120.936692 39.14452, -120.936692 39.151404, -120.935846 39.157631, -120.935001 39.160253, -120.934578 39.161564, -120.929929 39.1668","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.936692,39.1278],[-120.936692,39.1278],[-120.936692,39.128127],[-120.936692,39.128455],[-120.936692,39.136652],[-120.936692,39.14452],[-120.936692,39.151404],[-120.935846,39.157631],[-12",home owners in the WUI,,,,,,,,,,,,,,,1,,1,,,,non-profit
36wtf2g9f7h9,1,"POLYGON ((-121.116899 39.20857, -121.116899 39.20857, -121.117112 39.213351, -121.117325 39.217638, -121.118176 39.220606, -121.119879 39.223903, -121.121794 39.226376, -121.122645 39.226541, -121.122645 39.226541, -121.122645 39.226541, -121.125199 39.2","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.116899,39.20857],[-121.116899,39.20857],[-121.117112,39.213351],[-121.117325,39.217638],[-121.118176,39.220606],[-121.119879,39.223903],[-121.121794,39.226376],[-121.122645,39.226541],[",WUI concerns,,,,1,,,,,,,,,,,1,,1,,,,non-profit
36wtf2g9f7h9,2,"POLYGON ((-120.232834 39.326733, -120.232834 39.326733, -120.230263 39.327396, -120.219977 39.334689, -120.214834 39.341982, -120.210548 39.346622, -120.201119 39.354576, -120.196834 39.358552, -120.189976 39.363854, -120.17969 39.373131, -120.172833 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.232834,39.326733],[-120.232834,39.326733],[-120.230263,39.327396],[-120.219977,39.334689],[-120.214834,39.341982],[-120.210548,39.346622],[-120.201119,39.354576],[-120.196834,39.358552]",WUI  concerns,,,,1,,,,,,,,,,,1,,1,,,,non-profit
69v6a97bzi73,0,"POLYGON ((-120.989259 39.030912, -120.989259 39.030912, -120.989259 39.051733, -120.989259 39.06498, -120.994133 39.082008, -121.001445 39.099032, -121.006319 39.11227, -121.01363 39.133067, -121.020941 39.150078, -121.033126 39.168975, -121.052623 39.19","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.989259,39.030912],[-120.989259,39.030912],[-120.989259,39.051733],[-120.989259,39.06498],[-120.994133,39.082008],[-121.001445,39.099032],[-121.006319,39.11227],[-121.01363,39.133067],[-",Healthy Forests and Watersheds,,,,,,,,,1,,,,,,,,,,,1,state agency
4hz8i26dbd2z,0,"POLYGON ((-119.949363 38.782732, -119.949363 38.782732, -119.965731 38.796649, -119.998466 38.805926, -120.020785 38.809405, -120.031201 38.809405, -120.035665 38.810564, -120.047569 38.811723, -120.057985 38.812883, -120.071376 38.814042, -120.084768 38","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.949363,38.782732],[-119.949363,38.782732],[-119.965731,38.796649],[-119.998466,38.805926],[-120.020785,38.809405],[-120.031201,38.809405],[-120.035665,38.810564],[-120.047569,38.811723]","Biodiversity, forest health, landscape beauty",recreation,1,,,,,,,1,,1,,,,,2,,,,,non-profit
8w3spv4kmk49,0,"POLYGON ((-120.36647 39.440137, -120.36647 39.440137, -120.36679 39.44022, -120.368284 39.440385, -120.369031 39.440385, -120.371164 39.440467, -120.373725 39.440632, -120.374259 39.440632, -120.377673 39.440137, -120.379594 39.43989, -120.381621 39.4398","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.36647,39.440137],[-120.36647,39.440137],[-120.36679,39.44022],[-120.368284,39.440385],[-120.369031,39.440385],[-120.371164,39.440467],[-120.373725,39.440632],[-120.374259,39.440632],[-1",Potential wilderness of Castle Peak. Chance for quiet and enjoyment of the natural area.,,,,,,,,,,,1,,,,,1,,,,,non-profit
8w3spv4kmk49,1,"POLYGON ((-120.655146 39.44368, -120.655146 39.44368, -120.640523 39.445524, -120.632763 39.446446, -120.62769 39.446446, -120.620229 39.446446, -120.610083 39.446215, -120.592475 39.442989, -120.587402 39.440454, -120.58382 39.43884, -120.582925 39.4383","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.655146,39.44368],[-120.655146,39.44368],[-120.640523,39.445524],[-120.632763,39.446446],[-120.62769,39.446446],[-120.620229,39.446446],[-120.610083,39.446215],[-120.592475,39.442989],[-",Grouse lakes IRA. Area close to urban areas that allow hking and walking without motors.,,,,,,,,,,,,,,,,1,,,,,non-profit
8w3spv4kmk49,2,"POLYGON ((-120.395346 39.305109, -120.392995 39.299654, -120.391653 39.296796, -120.390981 39.294198, -120.389303 39.29082, -120.387624 39.287442, -120.386281 39.284584, -120.38561 39.283804, -120.385274 39.282765, -120.385274 39.282245, -120.383931 39.2","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.395346,39.305109],[-120.392995,39.299654],[-120.391653,39.296796],[-120.390981,39.294198],[-120.389303,39.29082],[-120.387624,39.287442],[-120.386281,39.284584],[-120.38561,39.283804],[",North Fork of the American River that is potentail wildeness and a a wild and scenic river.,,,,,,,,,,,1,,,,,,,,,1,non-profit
